Team_within_selected_timeframe,colors_in,colors_border
Club Brugge,blue4,darkblue
Eupen,dimgray,black
Genk,steelblue1,royalblue4
Gent,blue,navy
Kortrijk,red,black
Mechelen,yellow,red
OH Leuven,lightcyan2,forestgreen
Oostende,red,forestgreen
RFC Seraing,red,black
Sint-Truiden,yellow,blue
Standard Liège,firebrick1,gold2
Union Saint-Gilloise,gold1,navy
Westerlo,blue,gold1
Zulte-Waregem,forestgreen,red
Ajax,firebrick1,gold2
AZ,red,red4
Cambuur,yellow,navy
Emmen,gainsboro,firebrick3
Excelsior,black,red
Feyenoord,firebrick1,black
Fortuna Sittard,yellow2,forestgreen
Go Ahead Eagles,red,yellow1
Groningen,forestgreen,gold1
Heerenveen,royalblue,firebrick1
NEC,forestgreen,red
PSV,red,black
RKC Waalwijk,yellow,blue
Sparta Rotterdam,orangered,red4
Twente,red,firebrick
Utrecht,red,royalblue
Vitesse,gold,black
Volendam,orange,black
